2025/06/09 11:44:19 main.go:55: Sinal de encerramento recebido, fechando o servidor...
2025/06/09 11:44:30 main.go:55: Sinal de encerramento recebido, fechando o servidor...
2025/06/09 11:46:53 main.go:55: Sinal de encerramento recebido, fechando o servidor...
2025/06/09 11:59:44 main.go:55: Sinal de encerramento recebido, fechando o servidor...
2025/06/09 12:00:24 main.go:55: Sinal de encerramento recebido, fechando o servidor...
2025/06/09 12:02:26 main.go:55: Sinal de encerramento recebido, fechando o servidor...
2025/06/09 12:05:45 main.go:55: Sinal de encerramento recebido, fechando o servidor...
2025/06/09 12:21:01 main.go:55: Sinal de encerramento recebido, fechando o servidor...
2025/06/09 12:26:09 main.go:55: Sinal de encerramento recebido, fechando o servidor...
2025/06/09 12:27:32 main.go:55: Sinal de encerramento recebido, fechando o servidor...
2025/06/09 12:28:35 main.go:55: Sinal de encerramento recebido, fechando o servidor...
2025/06/09 12:29:58 main.go:55: Sinal de encerramento recebido, fechando o servidor...
2025/06/09 12:30:42 main.go:55: Sinal de encerramento recebido, fechando o servidor...
2025/06/09 14:02:46 main.go:55: Sinal de encerramento recebido, fechando o servidor...
2025/06/09 14:17:44 main.go:55: Sinal de encerramento recebido, fechando o servidor...
2025/06/09 14:21:15 main.go:55: Sinal de encerramento recebido, fechando o servidor...
2025/06/09 14:22:04 main.go:55: Sinal de encerramento recebido, fechando o servidor...
2025/06/09 14:22:24 main.go:55: Sinal de encerramento recebido, fechando o servidor...
2025/06/09 14:23:18 main.go:55: Sinal de encerramento recebido, fechando o servidor...
2025/06/09 14:27:47 main.go:55: Sinal de encerramento recebido, fechando o servidor...
2025/06/09 14:41:30 main.go:55: Sinal de encerramento recebido, fechando o servidor...
2025/06/09 14:41:55 main.go:55: Sinal de encerramento recebido, fechando o servidor...
2025/06/09 14:47:26 main.go:55: Sinal de encerramento recebido, fechando o servidor...
2025/06/09 14:48:56 main.go:55: Sinal de encerramento recebido, fechando o servidor...
2025/06/09 14:53:22 main.go:55: Sinal de encerramento recebido, fechando o servidor...
2025/06/09 14:59:05 main.go:55: Sinal de encerramento recebido, fechando o servidor...
2025/06/09 15:08:20 main.go:55: Sinal de encerramento recebido, fechando o servidor...
2025/06/09 16:00:48 main.go:55: Sinal de encerramento recebido, fechando o servidor...
2025/06/09 16:08:28 main.go:55: Sinal de encerramento recebido, fechando o servidor...
2025/06/09 16:20:26 main.go:55: Sinal de encerramento recebido, fechando o servidor...
2025/06/09 16:42:22 main.go:55: Sinal de encerramento recebido, fechando o servidor...
2025/06/09 17:08:01 main.go:55: Sinal de encerramento recebido, fechando o servidor...
2025/06/09 17:25:22 main.go:55: Sinal de encerramento recebido, fechando o servidor...
2025/06/09 17:29:19 main.go:55: Sinal de encerramento recebido, fechando o servidor...
2025/06/09 20:03:23 main.go:55: Sinal de encerramento recebido, fechando o servidor...
